fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,May,04,ASSAM,0402,KOKRAJHAR,408086,169.207280690024,23,137,0,213,48,7455,299120,3561,5362,119587,121053,0,506.132818,12902,26705,113995,324159,39,188544,488381,7668,506.132818,127100,60,48.64,41.06,104.39,NA
2018-2019,May,04,ASSAM,0403,BONGAIGAON,204877,129.281739861851,11,8,118.546283876,206,12,4933,78466,4605,13065,1527,3516,0,219.988493876,6905,9392,64672,178579,0,114802,290570,5139,101.44221,28698,63,93.6,78.27,108.6,NA
2018-2019,May,04,ASSAM,0404,GOALPARA,157636,159.060842773653,14,30,71.165653677,428,1,7293,330409,10928,6750,92652,45681,0,596.716993677,23584,32367,71320,178191,0,149114,317343,7721,525.55134,144249,84,93.15,79.94,100.33,NA
2018-2019,May,04,ASSAM,0412,Morigaon,313490,150.131379102595,32,53,0,41,9,10057,1236565,96433,27780,36837,32105,0,1856.472088,38006,68863,124657,264270,48,174018,344373,10098,1856.472088,523633,77,29.75,93.1,103.35,NA
2018-2019,May,04,ASSAM,0419,KARBI ANGLONG,280586,186.380045049596,9,16,8.434794648,198,0,7095,168259,4953,8854,136721,150615,0,322.035994648,18280,19481,100259,196180,0,145136,269544,7293,313.6012,75424,71,91.47,80.17,104.39,NA
2018-2019,May,04,ASSAM,0421,KARIMGANJ,236420,294.811438997303,12,2,0,267,18,7839,25212,4257,22445,295,1823,0,74.32786,1981,1989,103852,151947,0,214965,285056,8106,74.32786,10568,72,82.94,78.22,101.71,NA
2018-2019,May,04,ASSAM,0429,HOJAI,0,67.7253713386701,15,5,88.657090098,80,38,2074,21611,9326,18279,1490,4589,0,103.293220098,1363,2440,64398,112622,0,102875,173729,2154,14.63613,8577,43,57.4,45.52,109.35,NA
2018-2019,May,04,ASSAM,0430,CHARAIDEO,0,147.699061662198,10,3,10.8734715,156,15,1559,17904,116,1177,199,2070,0,37.3175115,1685,2063,37364,73402,0,64018,111875,1715,26.44404,6639,54,96.17,79.93,104.29,NA
2020-2021,Jan,04,ASSAM,0401,DHUBRI,3770140,194.367874407772,36,171,2512.838376689,5871,0,17291,3819472,33426,3752,1983,283,0,9936.664916689,103563,170553,186655,453720,1403,290723,634417,23162,7423.82654,1629622,74,84.97,78.09,100.13,NA
2020-2021,Jan,04,ASSAM,0403,BONGAIGAON,1404249,203.325229414762,28,71,622.282245685,1724,0,5995,1401174,76172,13302,21227,3059,0,3471.222495685,48746,72789,77140,196009,567,133947,311925,7719,2848.94025,595419,77,40.07,67.58,100.01,NA
2020-2021,Jan,04,ASSAM,0409,SONITPUR,2430358,204.727842665192,29,57,272.200435882,6305,0,9440,2428223,59547,7000,129835,14493,0,5243.448998882,81665,101248,129157,227013,499,201275,315466,15745,4971.248563,1134531,73,63.02,63.56,100.45,NA
2020-2021,Jan,04,ASSAM,0413,NAGAON,3955570,206.846962526433,35,138,2243.976778214,8691,0,20155,3949664,130648,16150,74269,11965,0,10413.736792214,112027,146065,189846,308009,2802,316556,476424,28846,8169.760014,1602763,86,62.39,62.87,99.87,NA
